Ağırlık(kg),İşlemci Arttırılmış Frekans(GHz),İşlemci Çekirdek Sayısı,İşlemci Temel Frekans(GHz),İşlemci Önbelleği(MB),Ram(Bellek) Boyutu(GB),Ram(Bellek) Frekansı(MHz),Ekran Boyutu(inç),Harici Ekran Kartı Belleği(GB),İşlemci Skoru,Medyan Fiyat,Ekran Kartı Skoru
0.01919847328244275,0.0009999999999999998,0.125,0.3617021276595745,0.21875,0.0234375,0.359375,0.0888888888888889,,0.011546943231441047,0.029597915115413254,
0.033702290076335885,0.0009999999999999998,0.0,,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.02727424448609649,
0.024160305343511455,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0078125,0.2759375,0.14814814814814814,,0.034101528384279475,0.026632346522196832,0.1746450973918785
0.02950381679389313,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,,0.14814814814814814,0.041666666666666664,0.014281659388646289,0.024841451202916785,0.01381517129288671
0.037137404580152675,0.0005161290322580645,0.125,0.021276595744680868,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.17231986899563317,0.011226795388605028,0.1746450973918785
0.026068702290076334,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.03353916861375716,
0.02034351145038168,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.015591701543122706,0.1746450973918785
0.025687022900763357,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,,0.0888888888888889,,0.01124235807860262,0.020213366883200246,
0.024160305343511455,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.234375,0.0888888888888889,,0.0035589519650655018,0.013942023775900583,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.021304593421829665,
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0078125,0.359375,0.14814814814814814,,0.009610262008733625,0.03209489819498292,0.1746450973918785
0.027977099236641222,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.359375,0.14814814814814814,,0.034101528384279475,0.04074768274835032,
0.027595419847328245,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0234375,0.2759375,0.14814814814814814,,0.01124235807860262,0.035009114951087376,0.1746450973918785
0.03561068702290076,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.19265625,0.14814814814814814,,0.0035589519650655018,0.010873751508460216,0.1746450973918785
0.02377862595419848,0.0009999999999999998,0.0,,0.15625,0.0078125,0.2759375,0.0888888888888889,,0.01124235807860262,0.020726885254319972,0.1746450973918785
0.03561068702290076,0.0006774193548387097,0.0,0.3404255319148936,0.0,0.0078125,,0.14814814814814814,,0.00019104803493449787,0.018467404421393177,
0.031793893129770996,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,,0.14814814814814814,,0.011120087336244542,0.021214727706883714,
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.014281659388646289,0.017966724009551443,
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,,0.14814814814814814,,0.014281659388646289,0.017549490333016664,
0.031793893129770996,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.022922176290856806,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0390625,,0.14814814814814814,,0.0029923580786026197,0.019314709733740724,
0.025687022900763357,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,,0.0888888888888889,,0.01124235807860262,0.026985390402341644,
0.03561068702290076,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.00785683107813182,
0.026068702290076334,0.0008064516129032258,0.125,0.3404255319148936,0.09375,0.0234375,0.234375,0.14814814814814814,,0.0029923580786026197,0.023166097517138676,
0.024160305343511455,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.030933062880324543,
0.02950381679389313,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.14814814814814814,,0.015101528384279476,0.03221685880812386,0.1746450973918785
0.03561068702290076,0.9996774193548387,0.0,0.3404255319148936,0.0,0.0546875,0.19265625,0.14814814814814814,,0.00019104803493449787,0.023840090379233316,0.1746450973918785
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0390625,0.359375,0.14814814814814814,,0.014281659388646289,0.0268762677484787,
0.026068702290076334,0.0008064516129032258,0.125,0.3404255319148936,0.09375,0.0234375,0.234375,0.14814814814814814,,0.0029923580786026197,0.02727424448609649,
0.027977099236641222,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.020309651577785196,0.1746450973918785
0.02377862595419848,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0234375,0.2759375,0.0888888888888889,,0.01124235807860262,0.03199219452075898,0.1746450973918785
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0703125,0.359375,0.0888888888888889,,0.01124235807860262,0.029668523891442217,
0.031793893129770996,0.0009999999999999998,0.0,,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.030040824710504017,0.1746450973918785
0.031793893129770996,,,,,0.0078125,,0.14814814814814814,,,0.018300510950779263,
0.031793893129770996,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.011120087336244542,0.017003877063701954,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.026632346522196832,
0.027977099236641222,0.0009999999999999998,0.125,0.425531914893617,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.029206357357434463,
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,0.2759375,0.14814814814814814,,0.0029923580786026197,0.023769481603204353,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.02879554266053868,
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.014281659388646289,0.021753921996559428,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.03315402983541736,
0.031793893129770996,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.011120087336244542,0.02573368937273731,0.1746450973918785
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.31765625,0.14814814814814814,,0.014281659388646289,0.02505327753100367,
,0.0010967741935483872,0.25,,0.28125,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.037056769455927285,
