Bellek Boyutu(GB),İşlemci Üreticisi,Ekran Kartı Modeli,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ekran Kartı Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3060-ti-ventus-3x-oc-8-gb-gddr6-256-bit-ekran-karti-fiyatlari,702421337",MSI GeForce RTX 3060 Ti Ventus 3X OC 8 GB GDDR6 256 Bit Ekran Kartı,10799.0,12940.0,20.544,2,18,71,0
6.0,NVIDIA,GeForce GTX 1660 SUPER,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-gtx-1660-super-tuf-gtx1660s-6g-gaming-6-gb-192-bit-gddr6-ekran-karti-fiyatlari,614936000",Asus GeForce GTX 1660 Super TUF-GTX1660S-6G-GAMING 6 GB 192 Bit GDDR6 Ekran Kartı,5549.0,6437.0,12.79,0,475,88,489
6.0,NVIDIA,GeForce RTX 2060,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-192-bit-ekran-karti-rtx-2060-ventus-gp-oc-fiyatlari,888411544",Msı Geforce Rtx 2060 Ventus Gp Oc 6gb Gddr6 192 Bit Ekran Kartı (Rtx 2060 Ventus Gp Oc),7824.58,9872.0,14.058,0,342,412,80
4.0,NVIDIA,GeForce GTX 1650 SUPER,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-tuf-geforce-gtx-1650-super-oc-gaming-tuf-gtx1650s-o4g-gaming-4gb-128bit-gddr6-dx12-pci-e-3-0-ekran-karti-fiyatlari,467982648",Asus TUF GeForce GTX 1650 Super OC Gaming TUF-GTX1650S-O4G-GAMING 4GB 128Bit GDDR6 DX12 PCI-E 3.0 Ekran Kartı,4861.84,5399.0,10.093,0,119,172,536
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-ge-force-dual-rtx-3060ti-o8g-v2-8gb-gddr6-ekran-karti-fiyatlari,1152701941",Asus Ge Force Dual RTX 3060TI O8G V2 8GB GDDR6 Ekran Kartı,12636.35,14822.0,20.544,2,0,30,234
6.0,NVIDIA,GeForce GTX 1660 SUPER,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-gtx-1660-super-6g-gddr6-192-bit-gv-n166soc-6gd-ekran-karti-fiyatlari,411438974",Gigabyte GTX 1660 Super 6G GDDR6 192 Bit GV-N166SOC-6GD Ekran Kartı,6161.61,6774.0,12.79,0,117,339,549
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-nvidia-geforce-rtx-3060-ti-gaming-x-lhr-8-gb-gddr6-256-bit-ekran-karti-fiyatlari,913919330",MSI NVIDIA GeForce RTX 3060 Ti Gaming X LHR 8 GB GDDR6 256 Bit Ekran Kartı,11951.0,12400.0,20.544,2,1,502,350
16.0,AMD,Radeon RX 6900 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-radeon-rx-6900-xt-gaming-x-trio-16gb-gddr6-256bit-amd-ekran-karti-fiyatlari,884799842",MSI RADEON RX 6900 XT GAMING X TRIO 16GB GDDR6 256bit AMD Ekran Kartı,18441.21,29950.0,26.814,1,79,468,427
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-rtx-3060-tuf-gaming-v2-o12g-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,1157570216",Asus GeForce RTX 3060 TUF Gaming V2 O12G 12 GB GDDR6 192 Bit Ekran Kartı,9899.0,12292.0,17.156,2,266,403,495
4.0,AMD,Radeon RX 6500 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-tuf-gaming-radeon-rx-6500-xt-oc-tuf-rx6500xt-o4g-gaming-4gb-gddr6-64bit-dx12-gaming-ekran-karti-fiyatlari,1479150602",Asus TUF Gaming Radeon RX 6500 XT OC TUF-RX6500XT-O4G-GAMING 4GB GDDR6 64Bit DX12 Gaming Ekran Kartı,4228.23,4959.0,9.419,0,54,37,92
