Temel Frekans(GHz),Çekirdek,Arttırılmış Frekans(GHz),Medyan Fiyat,İşlemci Skoru
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.022826812253563845,0.031992307692307695
0.36,0.125,0.3793103448275862,0.009960570215347285,0.04776769230769231
0.45999999999999996,0.20833333333333334,0.5689655172413793,0.03452229299363058,0.057321538461538465
0.25999999999999995,0.2916666666666667,0.5517241379310345,0.03645131938125569,0.05983384615384615
0.1,0.4583333333333333,0.5689655172413793,0.04748559296329997,0.046163076923076925
0.38,0.041666666666666664,0.3275862068965517,0.008274188656354261,0.005044615384615384
0.4,0.4583333333333333,0.5862068965517241,0.05191386108583561,0.051378461538461526
0.4999999999999999,0.20833333333333334,0.5517241379310345,0.030724901425538367,0.057321538461538465
0.18,0.2916666666666667,0.5689655172413793,0.04501061571125265,0.05776923076923077
0.36,0.041666666666666664,0.31034482758620685,0.0072975432211101,0.005044615384615384
0.33999999999999997,0.125,0.46551724137931033,0.01637852593266606,0.020284615384615387
0.18,0.20833333333333334,0.48275862068965525,0.02289353958143767,0.028606153846153847
0.3,0.125,0.31034482758620685,0.00902638762511374,0.007961538461538461
0.2,0.20833333333333334,0.48275862068965525,0.01902335456475584,0.0379123076923077
0.38,0.2916666666666667,0.6379310344827586,0.04846830451925993,0.0901923076923077
0.1,0.2916666666666667,0.27586206896551724,0.21340006066120715,0.0054292307692307695
0.27999999999999997,0.041666666666666664,0.24137931034482757,0.0030937215650591447,0.5120984615384615
0.33999999999999997,0.20833333333333334,0.5517241379310345,0.03317561419472247,0.04776769230769231
0.3,0.125,0.31034482758620685,0.008304519259933273,0.007961538461538461
0.45999999999999996,0.20833333333333334,0.48275862068965525,0.032684258416742495,0.02916615384615385
0.15999999999999998,0.625,0.603448275862069,0.0813709432817713,0.05211384615384615
0.33999999999999997,0.125,0.46551724137931033,0.0145950864422202,0.020284615384615387
0.2,0.20833333333333334,0.48275862068965525,0.016821352744919624,0.0379123076923077
0.33999999999999997,0.125,0.46551724137931033,0.020309372156505915,0.01949692307692308
0.42000000000000004,0.125,0.48275862068965525,0.018531998786775857,0.020155384615384617
0.18,0.4583333333333333,0.29310344827586204,0.04709736123748862,0.013267692307692308
0.25999999999999995,0.20833333333333334,0.46551724137931033,0.015796178343949044,0.0379123076923077
0.45999999999999996,0.20833333333333334,0.5689655172413793,0.03983621474067334,0.05742
0.32,0.625,0.6206896551724138,0.09361237488626023,0.06197692307692307
0.43999999999999995,0.125,0.41379310344827586,0.010439793751895663,0.01538
0.27999999999999997,0.20833333333333334,0.5172413793103448,0.0335213830755232,0.028901538461538465
0.15999999999999998,0.041666666666666664,0.1379310344827586,0.00040643008795875036,0.0016200000000000003
0.32,0.625,0.6206896551724138,0.08133454655747649,0.06223538461538461
0.4,0.20833333333333334,0.4310344827586206,0.011938125568698816,0.023160000000000004
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.023961176827418867,0.031992307692307695
0.36,0.2916666666666667,0.5172413793103448,0.030178950561116167,0.03940769230769231
0.23999999999999994,0.041666666666666664,0.2068965517241379,0.008122535638459206,0.005044615384615384
0.32,0.20833333333333334,0.3448275862068966,0.014692144373673036,0.014253846153846155
0.38,0.041666666666666664,0.3275862068965517,0.008116469517743403,0.005141538461538461
